"","X.1","Index","Angle","Antenna","Background","Code","GPSdate","GPStime","Strength","TowerID","TagID","AnimalID","uniqueID","longitude","latitude","BadPoint","Var_X","Var_Y","Cov_XY","AngleDiff","Date","Time","site","x","y","xAdj","yAdj"
"1",2,0,195,1,0,"0.24,0.24,0.17","17_05_23","16:00:53",31,"TowerR01",458,"RF051703","RF051703-17_05_23-16",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22670946,541122.64969562
"2",3,1,211,3,0,"0.23,0.23,0.17","17_05_23","22:33:09",32,"TowerR04",458,"RF051703","RF051703-17_05_23-22",1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA,"R",1286360.79560799,540920.536038687,1286360.79547019,540920.535715072
"3",5,1,295,1,0,"0.24,0.23,0.06","17_05_23","13:56:47",32,"TowerR07",459,"RF051914","RF051914-17_05_23-13",1286418.28707702,540797.821236682,NA,NA,NA,NA,NA,NA,NA,"R",1286418.28707702,540797.821236682,1286418.28678107,540797.821457567
"4",6,0,195,1,0,"0.24,0.24,0.07","19_05_23","14:41:02",32,"TowerR01",459,"RF051914","RF051914-19_05_23-14",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22674174,541122.649309969
"5",7,2,314,1,0,"0.25,0.24,0.08","29_05_23","19:38:43",31,"TowerR04",459,"RF051914","RF051914-29_05_23-19",1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA,"R",1286360.79560799,540920.536038687,1286360.79610178,540920.536438235
"6",8,2,142,2,0,"0.24,0.25,0.04","17_05_23","20:57:57",32,"TowerR04",461,"RF051915","RF051915-17_05_23-20",1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA,"R",1286360.79560799,540920.536038687,1286360.7952351,540920.535617067
"7",9,3,211,3,0,"0.25,0.25,0.05","17_05_23","22:01:06",31,"TowerR04",461,"RF051915","RF051915-17_05_23-22",1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA,"R",1286360.79560799,540920.536038687,1286360.79583498,540920.535729774
"8",10,71,64,3,0,"0.25,0.03,0.25","17_05_23","11:25:07",33,"TowerR07",462,"RF051905","RF051905-17_05_23-11",1286418.28707702,540797.821236682,NA,NA,NA,NA,NA,NA,NA,"R",1286418.28707702,540797.821236682,1286418.28749821,540797.821524072
"9",12,3,45,1,0,"0.24,0.04,0.24","19_05_23","0:35:59",31,"TowerR06",462,"RF051905","RF051905-19_05_23-0",1286281.97146808,541059.040711431,NA,NA,NA,NA,NA,NA,NA,"R",1286281.97146808,541059.040711431,1286281.97154488,541059.040656313
"10",13,4,207,1,0,"0.26,0.03,0.25","02_06_23","16:46:08",31,"TowerR13",462,"RF051905","RF051905-02_06_23-16",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.3039623,540655.375087055
"11",14,2,75,2,0,"0.26,0.05,0.25","30_05_23","18:43:07",31,"TowerR13",462,"RF051905","RF051905-30_05_23-18",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30444965,540655.37458441
"12",18,11,194,3,0,"0.25,0.07,0.1","29_05_23","11:01:34",32,"TowerR03",465,"RP051701","RP051701-29_05_23-11",1286464.34138308,540965.530885857,NA,NA,NA,NA,NA,NA,NA,"R",1286464.34138308,540965.530885857,1286464.34121244,540965.530469597
"13",19,0,268,2,0,"0.25,0.08,0.1","17_05_23","12:05:36",32,"TowerR02",465,"RP051701","RP051701-17_05_23-12",1286487.80981548,541066.061128236,1,0,0,0,0,"17_05_23","12:05:36","R",1286424.5923341,541083.293411621,1286424.59213266,541083.293540698
"14",20,1,75,2,0,"0.25,0.09,0.1","30_05_23","23:52:10",31,"TowerR13",465,"RP051701","RP051701-30_05_23-23",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30428501,540655.374578832
"15",21,7,320,2,0,"0.25,0.07,0.11","19_05_23","1:35:20",31,"TowerR01",465,"RP051701","RP051701-19_05_23-1",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22603587,541122.648933883
"16",22,0,23,3,0,"0.25,0.08,0.11","17_05_23","12:37:36",31,"TowerR01",465,"RP051701","RP051701-17_05_23-12",1286438.22633407,541122.649294353,1,0,0,0,0,"17_05_23","12:05:36","R",1286424.5923341,541083.293411621,1286424.59255877,541083.293088876
"17",23,0,195,1,0,"0.25,0.08,0.11","17_05_23","12:38:17",34,"TowerR01",465,"RP051701","RP051701-17_05_23-12",1286438.22633407,541122.649294353,1,0,0,0,0,"17_05_23","12:05:36","R",1286424.5923341,541083.293411621,1286424.59274737,541083.293214087
"18",24,7,207,1,0,"0.25,0.07,0.12","18_05_23","8:54:18",31,"TowerR13",465,"RP051701","RP051701-18_05_23-8",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.304141,540655.3747588
"19",25,0,75,2,0,"0.25,0.08,0.12","29_05_23","21:33:11",31,"TowerR13",465,"RP051701","RP051701-29_05_23-21",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30386544,540655.374937258
"20",26,0,194,3,0,"0.26,0.08,0.12","21_05_23","18:34:40",31,"TowerR03",465,"RP051701","RP051701-21_05_23-18",1286464.34138308,540965.530885857,NA,NA,NA,NA,NA,NA,NA,"R",1286464.34138308,540965.530885857,1286464.34090232,540965.530866612
"21",27,2,211,3,0,"0.26,0.09,0.12","17_05_23","22:34:26",32,"TowerR04",465,"RP051701","RP051701-17_05_23-22",1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA,"R",1286360.79560799,540920.536038687,1286360.79579561,540920.535902133
"22",38,3,75,2,0,"0.25,0.14,0.17","31_05_23","10:29:18",31,"TowerR13",470,"RF051702","RF051702-31_05_23-10",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30440971,540655.375225015
"23",40,2,295,1,0,"0.25,0.14,0.12","18_05_23","5:10:42",31,"TowerR07",472,"RF051920","RF051920-18_05_23-5",1286418.28707702,540797.821236682,NA,NA,NA,NA,NA,NA,NA,"R",1286418.28707702,540797.821236682,1286418.2875058,540797.820748645
"24",41,0,195,1,0,"0.25,0.15,0.12","19_05_23","15:43:40",32,"TowerR01",472,"RF051920","RF051920-19_05_23-15",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22652179,541122.649753745
"25",43,5,75,2,0,"0.24,0.16,0.13","30_05_23","20:39:16",32,"TowerR13",472,"RF051920","RF051920-30_05_23-20",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30427873,540655.37485564
"26",708,0,195,1,0,"0.25,0.22,0.14","19_05_23","13:49:15",33,"TowerR01",478,"RF051912","RF051912-19_05_23-13",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22599113,541122.649284795
"27",709,0,35,3,0,"0.25,0.22,0.14","29_05_23","9:08:31",31,"TowerR02",478,"RF051912","RF051912-29_05_23-9",1286487.80981548,541066.061128236,NA,NA,NA,NA,NA,NA,NA,"R",1286487.80981548,541066.061128236,1286487.81030888,541066.061238728
"28",710,0,35,3,0,"0.25,0.22,0.14","29_05_23","9:11:56",32,"TowerR02",478,"RF051912","RF051912-29_05_23-9",1286487.80981548,541066.061128236,NA,NA,NA,NA,NA,NA,NA,"R",1286487.80981548,541066.061128236,1286487.81021338,541066.061163069
"29",711,1,314,1,0,"0.26,0.21,0.15","30_05_23","17:26:48",32,"TowerR04",478,"RF051912","RF051912-30_05_23-17",1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA,"R",1286360.79560799,540920.536038687,1286360.79561731,540920.535598526
"30",713,4,211,3,0,"0.26,0.04,0.12","29_05_23","17:54:04",37,"TowerR04",482,"RF051901","RF051901-29_05_23-17",1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA,"R",1286360.79560799,540920.536038687,1286360.79597747,540920.536366508
"31",715,2,75,2,0,"0.26,0.06,0.12","31_05_23","1:21:16",31,"TowerR13",482,"RF051901","RF051901-31_05_23-1",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30453239,540655.375175246
"32",716,0,320,2,0,"0.26,0.05,0.13","19_05_23","10:28:09",32,"TowerR01",482,"RF051901","RF051901-19_05_23-10",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22663431,541122.64947997
"33",717,0,195,1,0,"0.26,0.05,0.13","19_05_23","10:28:50",32,"TowerR01",482,"RF051901","RF051901-19_05_23-10",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22675316,541122.648856315
"34",718,2,207,1,0,"0.26,0.06,0.13","30_05_23","10:54:24",31,"TowerR13",482,"RF051901","RF051901-30_05_23-10",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30463622,540655.375035373
"35",719,3,75,2,0,"0.26,0.04,0.14","01_06_23","19:38:37",31,"TowerR13",482,"RF051901","RF051901-01_06_23-19",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30441356,540655.374853372
"36",720,1,64,3,0,"0.25,0.05,0.13","17_05_23","19:03:23",31,"TowerR07",482,"RF051901","RF051901-17_05_23-19",1286418.28707702,540797.821236682,NA,NA,NA,NA,NA,NA,NA,"R",1286418.28707702,540797.821236682,1286418.28724982,540797.821471795
"37",721,4,132,3,0,"0.27,0.04,0.14","18_05_23","4:47:04",31,"TowerR11",482,"RF051901","RF051901-18_05_23-4",1286561.81390412,540806.488041056,NA,NA,NA,NA,NA,NA,NA,"R",1286561.81390412,540806.488041056,1286561.81417186,540806.487996786
"38",722,1,320,2,0,"0.27,0.05,0.14","31_05_23","5:44:30",31,"TowerR01",482,"RF051901","RF051901-31_05_23-5",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22584483,541122.649388698
"39",734,1,320,2,0,"0.26,0.1,0.04","31_05_23","5:25:05",32,"TowerR01",486,"RF051906","RF051906-31_05_23-5",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22627858,541122.649396366
"40",735,4,75,2,0,"0.26,0.1,0.04","30_05_23","20:39:53",31,"TowerR13",486,"RF051906","RF051906-30_05_23-20",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30415722,540655.374778332
"41",736,7,75,2,0,"0.26,0.11,0.05","19_05_23","17:33:10",31,"TowerR13",486,"RF051906","RF051906-19_05_23-17",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30394281,540655.375119778
"42",737,1,75,2,0,"0.25,0.12,0.05","02_06_23","1:07:05",31,"TowerR13",486,"RF051906","RF051906-02_06_23-1",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30398923,540655.374577782
"43",740,0,45,1,0,"0.26,0.13,0.06","18_05_23","3:10:50",32,"TowerR06",488,"RP051702","RP051702-18_05_23-3",1286281.97146808,541059.040711431,NA,NA,NA,NA,NA,NA,NA,"R",1286281.97146808,541059.040711431,1286281.97115353,541059.041189507
"44",741,1,320,2,0,"0.26,0.14,0.06","01_06_23","2:36:24",31,"TowerR01",488,"RP051702","RP051702-01_06_23-2",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.2261722,541122.649433964
"45",742,2,23,3,0,"0.26,0.12,0.07","19_05_23","15:43:40",31,"TowerR01",488,"RP051702","RP051702-19_05_23-15",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22639735,541122.649167447
"46",743,5,75,2,0,"0.26,0.12,0.07","30_05_23","22:03:02",31,"TowerR13",488,"RP051702","RP051702-30_05_23-22",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30430854,540655.374765659
"47",744,0,195,1,0,"0.26,0.13,0.07","17_05_23","15:30:22",34,"TowerR01",488,"RP051702","RP051702-17_05_23-15",1286438.22633407,541122.649294353,0,-Inf,Inf,Inf,89.9999999999869,"17_05_23","15:30:22","R",1286472.13722724,541249.20647059,1286472.13729095,541249.206618121
"48",745,0,45,1,0,"0.26,0.13,0.07","17_05_23","15:32:26",32,"TowerR06",488,"RP051702","RP051702-17_05_23-15",1286281.97146808,541059.040711431,0,-Inf,Inf,Inf,89.9999999999869,"17_05_23","15:30:22","R",1286472.13722724,541249.20647059,1286472.13721473,541249.206112537
"49",747,0,195,1,0,"0.26,0.15,0.18","17_05_23","13:02:54",31,"TowerR01",489,"RF051701","RF051701-17_05_23-13",1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA,"R",1286438.22633407,541122.649294353,1286438.22665365,541122.648849607
"50",748,0,75,2,0,"0.26,0.15,0.19","01_06_23","19:40:03",31,"TowerR13",489,"RF051701","RF051701-01_06_23-19",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30423063,540655.374846274
"51",749,6,75,2,0,"0.27,0.14,0.19","30_05_23","21:40:16",31,"TowerR13",489,"RF051701","RF051701-30_05_23-21",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30382686,540655.375217318
"52",750,0,207,1,0,"0.26,0.15,0.27","31_05_23","10:22:51",31,"TowerR13",490,"RF051902","RF051902-31_05_23-10",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30468187,540655.374992427
"53",751,6,75,2,0,"0.26,0.16,0.27","02_06_23","18:27:22",32,"TowerR13",490,"RF051902","RF051902-02_06_23-18",1286798.30418877,540655.374968405,NA,NA,NA,NA,NA,NA,NA,"R",1286798.30418877,540655.374968405,1286798.30420769,540655.37513325
"54",752,4,120,2,0,"0.27,0.16,0.26","30_05_23","6:05:44",31,"TowerR06",491,"RF051911","RF051911-30_05_23-6",1286281.97146808,541059.040711431,NA,NA,NA,NA,NA,NA,NA,"R",1286281.97146808,541059.040711431,1286281.97122917,541059.040583421
