"","Index","Angle","Antenna","Background","Code","GPSdate","GPStime","Strength","TowerID","TagID","AnimalID","uniqueID","longitude","latitude","X","Y","BadPoint","Var_X","Var_Y","Cov_XY","AngleDiff","Date","Time"
"1",2,246,2,0,"0.25,0.21,0.13","04_06_23","0:38:33",31,"TowerW13",457,"RFO51907","RFO51907-04_06_23-0",1278116.69408485,568325.500681687,1278116.69408485,568325.500681687,NA,NA,NA,NA,NA,NA,NA
"2",0,195,1,0,"0.24,0.24,0.17","17_05_23","16:00:53",31,"TowerR01",458,"RF051703","RF051703-17_05_23-16",1286438.22633407,541122.649294353,1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA
"3",1,211,3,0,"0.23,0.23,0.17","17_05_23","22:33:09",32,"TowerR04",458,"RF051703","RF051703-17_05_23-22",1286360.79560799,540920.536038687,1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA
"4",1,319,2,0,"0.25,0.22,0.18","27_05_23","3:21:29",31,"TowerW11",458,"RF051703","RF051703-27_05_23-3",1277661.95017273,568449.390537169,1277661.95017273,568449.390537169,NA,NA,NA,NA,NA,NA,NA
"5",1,295,1,0,"0.24,0.23,0.06","17_05_23","13:56:47",32,"TowerR07",459,"RF051914","RF051914-17_05_23-13",1286418.28707702,540797.821236682,1286418.28707702,540797.821236682,NA,NA,NA,NA,NA,NA,NA
"6",0,195,1,0,"0.24,0.24,0.07","19_05_23","14:41:02",32,"TowerR01",459,"RF051914","RF051914-19_05_23-14",1286438.22633407,541122.649294353,1286438.22633407,541122.649294353,NA,NA,NA,NA,NA,NA,NA
"7",2,314,1,0,"0.25,0.24,0.08","29_05_23","19:38:43",31,"TowerR04",459,"RF051914","RF051914-29_05_23-19",1286360.79560799,540920.536038687,1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA
"8",2,142,2,0,"0.24,0.25,0.04","17_05_23","20:57:57",32,"TowerR04",461,"RF051915","RF051915-17_05_23-20",1286360.79560799,540920.536038687,1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA
"9",3,211,3,0,"0.25,0.25,0.05","17_05_23","22:01:06",31,"TowerR04",461,"RF051915","RF051915-17_05_23-22",1286360.79560799,540920.536038687,1286360.79560799,540920.536038687,NA,NA,NA,NA,NA,NA,NA
"10",71,64,3,0,"0.25,0.03,0.25","17_05_23","11:25:07",33,"TowerR07",462,"RF051905","RF051905-17_05_23-11",1286418.28707702,540797.821236682,1286418.28707702,540797.821236682,NA,NA,NA,NA,NA,NA,NA
